p,K,K_index,L,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,5.0,2,2,0,70002,0.1525332742027466,-3.5660396848763805,104.27738577474732,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,1,70002,1.0000000156575943,-3.5660396848763805,128.04231315480328,,,327,True,False,False,False,1309.895849943161
0.0,5.0,2,2,2,70002,1.0000000175613883,-3.5660396848763805,128.04231320819005,,,382,True,False,False,False,1309.895849943161
0.0,5.0,2,2,3,70002,1.000004661133118,-3.5660396848763805,128.0424434246806,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,4,70002,1.000000168943347,-3.5660396848763805,128.04231745329028,,,663,True,False,False,False,1309.895849943161
0.0,5.0,2,2,5,70002,0.1528915232119597,-3.5660396848763805,104.2874319054938,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,6,70002,1.0000000143031271,-3.5660396848763805,128.04231311682088,,,373,True,False,False,False,1309.895849943161
0.0,5.0,2,2,7,70002,1.0000003552115846,-3.5660396848763805,128.04232267668246,,,780,True,False,False,False,1309.895849943161
0.0,5.0,2,2,8,70002,1.00000017241357,-3.5660396848763805,128.04231755060334,,,625,True,False,False,False,1309.895849943161
0.0,5.0,2,2,9,70002,1.0000000372693938,-3.5660396848763805,128.04231376084812,,,382,True,False,False,False,1309.895849943161
0.0,5.0,2,2,10,70002,0.1497872091669067,-3.5660396848763805,104.2003797602746,,,3732,True,False,False,False,1309.895849943161
0.0,5.0,2,2,11,70002,1.0000005617542216,-3.5660396848763805,128.04232846861566,,,1644,True,False,False,False,1309.895849943161
0.0,5.0,2,2,12,70002,0.1530519555098447,-3.5660396848763805,104.29193079816076,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,13,70002,0.1531794361788975,-3.5660396848763805,104.29550565094756,,,1275,True,False,False,False,1309.895849943161
0.0,5.0,2,2,14,70002,0.1515714377599447,-3.5660396848763805,104.2504136564369,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,15,70002,1.0000013395486416,-3.5660396848763805,128.04235027977003,,,1633,True,False,False,False,1309.895849943161
0.0,5.0,2,2,16,70002,0.1499225515989618,-3.5660396848763805,104.20417507507796,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,17,70002,0.1502828771256723,-3.5660396848763805,104.21427943617743,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,18,70002,1.0000004061192669,-3.5660396848763805,128.0423241042516,,,1936,True,False,False,False,1309.895849943161
0.0,5.0,2,2,19,70002,1.0000033163372732,-3.5660396848763805,128.042405713495,,,1980,True,False,False,False,1309.895849943161
0.0,5.0,2,2,20,70002,0.150329138047174,-3.5660396848763805,104.2155766994047,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,21,70002,1.0000082385320197,-3.5660396848763805,128.0425437432193,,,1828,True,False,False,False,1309.895849943161
0.0,5.0,2,2,22,70002,0.1506717048436026,-3.5660396848763805,104.2251830646362,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,23,70002,0.149755115414314,-3.5660396848763805,104.19947977722816,0.4916328561904842,-1.995474098459572e-16,4000,False,True,False,True,1309.895849943161
0.0,5.0,2,2,24,70002,1.0000000278633778,-3.5660396848763805,128.0423134970817,,,361,True,False,False,False,1309.895849943161
0.0,5.0,2,2,25,70002,2.588275319218566,-3.5660396848763805,172.58122589592807,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,26,70002,0.15284115897738,-3.5660396848763805,104.28601957587802,,,4000,False,True,False,False,1309.895849943161
0.0,5.0,2,2,27,70002,1.0000011122672068,-3.5660396848763805,128.04234390627295,,,1781,True,False,False,False,1309.895849943161
0.0,5.0,2,2,28,70002,1.000004136424383,-3.5660396848763805,128.04242871063417,,,3380,True,False,False,False,1309.895849943161
0.0,5.0,2,2,29,70002,1.000000048919945,-3.5660396848763805,128.0423140875565,,,393,True,False,False,False,1309.895849943161
0.0,5.0,2,2,30,70002,1.0000000061738483,-3.5660396848763805,128.0423128888571,,,329,True,False,False,False,1309.895849943161
0.0,5.0,2,2,31,70002,2.588264403389453,-3.5660396848763805,172.58091979083449,,,646,True,False,False,False,1309.895849943161
0.0,4.0,0,2,0,70000,-5.386532832738865,-11.566039684876383,53.42802740178878,,,899,True,False,False,False,2205.093026161194
0.0,4.0,0,2,1,70000,-5.41172348105586,-11.566039684876383,53.21022901095381,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,2,70000,-6.006698589197151,-11.566039684876383,48.06607315162996,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,3,70000,-5.994007289756851,-11.566039684876383,48.1758021495072,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,4,70000,-5.994850260735756,-11.566039684876383,48.16851382090146,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,5,70000,-6.002334661807993,-11.566039684876383,48.10380367571647,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,6,70000,-5.99400137373127,-11.566039684876383,48.175853299475065,,,1837,True,False,False,False,2205.093026161194
0.0,4.0,0,2,7,70000,-6.006506823685699,-11.566039684876383,48.06773115658823,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,8,70000,-5.411735925354741,-11.566039684876383,53.21012141752321,,,510,True,False,False,False,2205.093026161194
0.0,4.0,0,2,9,70000,-6.006393775398307,-11.566039684876383,48.06870857228515,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,10,70000,-5.995856735121815,-11.566039684876383,48.15981184154222,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,11,70000,-5.997089846934593,-11.566039684876383,48.149150354582346,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,12,70000,-5.999941062514983,-11.566039684876383,48.12449873952591,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,13,70000,-6.001941477443017,-11.566039684876383,48.10720314844602,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,14,70000,-5.999886774623184,-11.566039684876383,48.12496811273642,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,15,70000,-6.004598628883516,-11.566039684876383,48.0842294122935,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,16,70000,-5.386532673770378,-11.566039684876383,53.428028776230605,,,1153,True,False,False,False,2205.093026161194
0.0,4.0,0,2,17,70000,-5.999284970741806,-11.566039684876383,48.13017131018148,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,18,70000,-5.996636112746904,-11.566039684876383,48.1530733411884,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,19,70000,-6.005401656103214,-11.566039684876383,48.077286437501975,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,20,70000,-6.006980799292284,-11.566039684876383,48.063633162637856,0.7244159321327369,-8.066667451199502e-16,4000,False,True,False,True,2205.093026161194
0.0,4.0,0,2,21,70000,-6.0067469384782655,-11.566039684876383,48.06565512365813,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,22,70000,-6.005199353860994,-11.566039684876383,48.07903554305351,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,23,70000,-5.410847416540163,-11.566039684876383,53.21780346633842,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,24,70000,-6.006551694128127,-11.566039684876383,48.06734320666199,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,25,70000,-6.003903175440998,-11.566039684876383,48.09024230401327,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,26,70000,-6.006612364099531,-11.566039684876383,48.06681865397968,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,27,70000,-5.386532338674752,-11.566039684876383,53.42803167346799,,,1890,True,False,False,False,2205.093026161194
0.0,4.0,0,2,28,70000,-5.386531783373799,-11.566039684876383,53.42803647460105,,,1429,True,False,False,False,2205.093026161194
0.0,4.0,0,2,29,70000,-6.003325139961713,-11.566039684876383,48.09523999981092,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,30,70000,-6.006729948915318,-11.566039684876383,48.06580201545006,,,4000,False,True,False,False,2205.093026161194
0.0,4.0,0,2,31,70000,-5.958865009941225,-11.566039684876383,48.4796423642488,,,4000,False,True,False,False,2205.093026161194
0.0,4.5,1,2,0,70001,-2.633197784642242,-7.566039684876367,65.19714547749865,,,2319,True,False,False,False,2237.208303451538
0.0,4.5,1,2,1,70001,-2.632976917600515,-7.566039684876367,65.20006466707372,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,2,70001,-2.631949617697617,-7.566039684876367,65.21364244284129,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,3,70001,-2.6324193278944814,-7.566039684876367,65.20743430468146,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,4,70001,-2.632154402944193,-7.566039684876367,65.2109358056162,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,5,70001,-2.6324175968520787,-7.566039684876367,65.20745718378961,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,6,70001,1.0000000244555722,-7.566039684876367,113.21695452449788,,,376,True,False,False,False,2237.208303451538
0.0,4.5,1,2,7,70001,-2.63194395978155,-7.566039684876367,65.21371722325883,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,8,70001,-1.4117355828764413,-7.566039684876367,81.34115545681928,,,1751,True,False,False,False,2237.208303451538
0.0,4.5,1,2,9,70001,-2.6332004835845275,-7.566039684876367,65.19710980570207,0.6715799242922165,2.669441273930874e-16,1887,True,False,False,True,2237.208303451538
0.0,4.5,1,2,10,70001,-2.6314310745564926,-7.566039684876367,65.22049600378892,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,11,70001,-2.633125203735988,-7.566039684876367,65.19810477601249,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,12,70001,-1.4107706544298395,-7.566039684876367,81.35390887190552,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,13,70001,-2.632348453046184,-7.566039684876367,65.20837105430543,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,14,70001,-2.627391115024923,-7.566039684876367,65.27389196389265,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,15,70001,-2.631015712238161,-7.566039684876367,65.22598582852724,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,16,70001,-2.633197814784063,-7.566039684876367,65.19714507911557,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,17,70001,-2.6257024214923543,-7.566039684876367,65.2962113489726,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,18,70001,-2.632996617381387,-7.566039684876367,65.19980429597216,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,19,70001,-2.632571993253213,-7.566039684876367,65.20541653362699,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,20,70001,-2.6323462020093418,-7.566039684876367,65.20840080615629,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,21,70001,-2.630319617206681,-7.566039684876367,65.23518608467805,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,22,70001,-2.626016150953586,-7.566039684876367,65.29206480105191,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,23,70001,1.000000020604734,-7.566039684876367,113.21695447360152,,,485,True,False,False,False,2237.208303451538
0.0,4.5,1,2,24,70001,-2.625821233890852,-7.566039684876367,65.29464101094311,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,25,70001,-1.3865278067972011,-7.566039684876367,81.67432547877446,,,1089,True,False,False,False,2237.208303451538
0.0,4.5,1,2,26,70001,-2.6319857723404696,-7.566039684876367,65.21316458858254,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,27,70001,-2.6287053086043817,-7.566039684876367,65.25652232754136,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,28,70001,-2.633141770266077,-7.566039684876367,65.19788581694303,,,3599,True,False,False,False,2237.208303451538
0.0,4.5,1,2,29,70001,-2.629069080081769,-7.566039684876367,65.25171437658499,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,30,70001,-2.6286842308753164,-7.566039684876367,65.25680091092106,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,1,2,31,70001,-2.630192871998569,-7.566039684876367,65.23686127028888,,,4000,False,True,False,False,2237.208303451538
0.0,4.5,0,3,0,80003,0.9860326904434922,-7.566039684876367,113.03234891054639,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,1,80003,-7.559991241592678,-7.566039684876367,0.07994199786949086,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,2,80003,-7.512857560147304,-7.566039684876367,0.7029057068702405,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,3,80003,-7.559991601336106,-7.566039684876367,0.07993724315707963,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,4,80003,-7.559888546809181,-7.566039684876367,0.08129931011968593,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,5,80003,-7.5594784373974875,-7.566039684876367,0.08671970743154864,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,6,80003,-7.550966647248179,-7.566039684876367,0.19921964800577296,,,2000,False,True,False,False,265.4053637981415
0.0,4.5,0,3,7,80003,-7.559991837922179,-7.566039684876367,0.0799341162097946,0.9998744002597162,3.2558591239739713e-16,1841,True,False,False,True,265.4053637981415
0.0,4.5,0,4,0,80004,-7.559992537477551,-7.566039684876367,0.07992487021848357,0.9998744114821363,-3.9421590992219206e-16,1824,True,False,False,True,288.98406410217285
