p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-16.0,0,1,20,0,20001,-374.7827437009777,-382.9999999999999,2.145497728204233,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,1,20001,-374.1261786848286,-382.9999999999999,2.3169246253711004,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,2,20001,-374.87473324735566,-382.9999999999999,2.1214795698809987,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,3,20001,-375.01143449010203,-382.9999999999999,2.085787339398918,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,4,20001,-374.3480842535396,-382.9999999999999,2.2589858345849363,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,5,20001,-374.3665618449475,-382.9999999999999,2.254161398185999,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,6,20001,-374.846089401248,-382.9999999999999,2.1289583808751718,2000,False,True,False,False,379.7613182067871
0.005,-16.0,0,1,20,7,20001,-375.0143343126099,-382.9999999999999,2.085030205584856,2000,False,True,False,True,379.7613182067871
0.005,-15.0,1,1,20,0,20011,-352.2536933697659,-358.99999999999966,1.8791940474188689,2000,False,True,False,True,380.25195264816284
0.005,-15.0,1,1,20,1,20011,-351.89260912119374,-358.99999999999966,1.979774618051789,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,2,20011,-351.48031166059775,-358.99999999999966,2.094620707354294,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,3,20011,-350.6944867547462,-358.99999999999966,2.3135134387892644,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,4,20011,-351.6907219440001,-358.99999999999966,2.036010600556989,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,5,20011,-352.0044694076647,-358.99999999999966,1.9486157638816017,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,6,20011,-351.58452580630444,-358.99999999999966,2.0655916974081405,2000,False,True,False,False,380.25195264816284
0.005,-15.0,1,1,20,7,20011,-350.98588123808514,-358.99999999999966,2.2323450590291154,2000,False,True,False,False,380.25195264816284
