p,K,E_lam1,E_lam2,E_lam3,E_mit_linear,E_exact,a,b,c,E_lam0,residual_floor
0.005,-16.0,-375.0143343126099,-372.1081727454888,-365.9232528805447,-379.5598750286425,-382.9999999999999,2412675.3931098804,-2413055.499453852,0.9999981162738361,-380.10634397156537,2.8936560284345205
0.005,-15.0,-352.2536933697659,-348.02408827090983,-343.0555268160007,-356.8527766466486,-358.99999999999966,2321200.302871296,-2321557.2787992004,0.9999980189648598,-356.97592790424824,2.0240720957514213
0.005,-14.0,-328.615790189079,-325.64158158633035,-319.9169127823157,-332.9652288924607,-335.0000000000001,2636611.636122479,-2636945.0598891824,0.9999983505506287,-333.4237667033449,1.5762332966552322
0.005,-13.0,-305.250461015703,-301.56946823271886,-297.30732867313696,-309.2220271869861,-311.0,2198830.253730138,-2199139.57259731,0.9999981940383771,-309.31886717211455,1.681132827885449
0.005,-12.0,-281.5893831175004,-278.9826321698958,-274.4590318159423,-285.15455876827946,-286.9999999999998,2234970.6789363017,-2235256.15298953,0.9999984050242547,-285.474053228274,1.5259467717257849
0.005,-11.0,-257.87398033634656,-255.84871303277455,-251.6193577386343,-261.0012916352027,-262.9999999999997,2106264.741048593,-2106526.109723088,0.9999985154127486,-261.3686744947918,1.6313255052079398
0.005,-10.0,-234.29651352555052,-232.5269691964518,-228.75430566095147,-237.06761745785008,-239.00000000000009,2215769.5332552483,-2216006.9346705256,0.9999987495184428,-237.40141527727246,1.5985847227276224
0.005,-9.0,-211.0015286082869,-209.32873012176103,-205.88387882732056,-213.56035349877004,-214.99999999999991,2108965.237827715,-2109179.093495263,0.9999987868204623,-213.85566754778847,1.1443324522114438
0.005,-8.0,-187.61251271518503,-186.05546435092808,-183.0338550232559,-189.90184156114958,-190.9999999999999,1511081.6461748276,-1511271.79208236,0.9999984851723653,-190.14590753242373,0.8540924675761516
0.005,-7.0,-163.83248678540943,-162.8031130471876,-160.17229750942067,-165.66258142340382,-167.00000000000009,1070000.0791847394,-1070166.0086682928,0.9999982899020818,-165.92948355339468,1.07051644660541
0.005,-6.0,-140.5782039616451,-139.53990465787248,-137.31059730379997,-142.21200729056767,-143.00000000000028,1010034.7241602086,-1010177.1346503107,0.9999983826633714,-142.41049010213464,0.5895098978656392
0.005,-5.0,-119.9783198471014,-118.32279569847432,-115.48846219788366,-122.22324867171028,-123.56603968487644,1360274.8435035856,-1360397.2631893703,0.9999983498088659,-122.41968578472733,1.1463539001491085
0.005,-4.0,-104.01207405987978,-102.32526773727564,-99.58792532073863,-106.22414842945037,-107.56603968487642,1534379.999953878,-1534486.399135179,0.9999985584405163,-106.39918130077422,1.1668583841021984
0.005,-3.0,-88.10384411790707,-86.36740090714751,-83.80143426421135,-90.25504904475491,-91.56603968487632,1161660.0258140191,-1161750.4191619847,0.9999981482890756,-90.3933479655534,1.1726917193229127
0.005,-2.0,-72.22982361370983,-70.43461932791807,-67.76692170869268,-74.4612745662184,-75.5660396848763,1297433.8259890191,-1297508.4327066913,0.9999982801953256,-74.60671767219901,0.9593220126772906
0.005,-1.0,-56.30114960245517,-54.54186512128043,-52.15169127181547,-58.37587876777502,-59.56603968487627,1086997.205057697,-1087055.68611161,0.9999980914114021,-58.48105391301215,1.084985771864126
0.005,0.0,-40.425330439000405,-38.82085659800458,-36.51949523969657,-42.37824803865232,-43.56603968487643,1089237.3734107795,-1089279.8677858245,0.9999982071554476,-42.49437504494563,1.0716646399308019
