p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,6.75,11,0,60011,1.000000030163784,0.9999999999999973,3.0163786579606802e-06,,,456,True,False,False,False,121.35161685943604
0.0,6.75,11,1,60011,1.0000002315592118,0.9999999999999973,2.3155921446971267e-05,,,752,True,False,False,False,121.35161685943604
0.0,6.75,11,2,60011,1.0000003103022554,0.9999999999999973,3.1030225811079585e-05,,,541,True,False,False,False,121.35161685943604
0.0,6.75,11,3,60011,1.000002148883915,0.9999999999999973,0.00021488839176964151,,,1909,True,False,False,False,121.35161685943604
0.0,6.75,11,4,60011,1.0000002542985542,0.9999999999999973,2.5429855687875215e-05,,,939,True,False,False,False,121.35161685943604
0.0,6.75,11,5,60011,1.0000003695326787,0.9999999999999973,3.695326813435439e-05,,,769,True,False,False,False,121.35161685943604
0.0,6.75,11,6,60011,1.0000000216236389,0.9999999999999973,2.1623641544010807e-06,0.9999999992455582,-1.1102230245120652e-16,771,True,False,False,True,121.35161685943604
0.0,6.75,11,7,60011,1.000000181429749,0.9999999999999973,1.8142975166668454e-05,,,571,True,False,False,False,121.35161685943604
0.0,7.0,12,0,60012,1.0000000645036193,0.9999999999999978,6.450362155518988e-06,,,421,True,False,False,False,125.55436158180237
0.0,7.0,12,1,60012,1.0000001272494043,0.9999999999999978,1.272494065673871e-05,,,762,True,False,False,False,125.55436158180237
0.0,7.0,12,2,60012,1.0000000586735944,0.9999999999999978,5.867359664790697e-06,,,419,True,False,False,False,125.55436158180237
0.0,7.0,12,3,60012,1.0000000267161888,0.9999999999999978,2.671619103722384e-06,,,593,True,False,False,False,125.55436158180237
0.0,7.0,12,4,60012,1.0000010563145665,0.9999999999999978,0.00010563145687037002,,,1708,True,False,False,False,125.55436158180237
0.0,7.0,12,5,60012,1.0000000189152745,0.9999999999999978,1.8915276678299662e-06,,,610,True,False,False,False,125.55436158180237
0.0,7.0,12,6,60012,1.0000000168232792,0.9999999999999978,1.6823281434597029e-06,0.9999999997321134,3.5995512127003443e-16,436,True,False,False,True,125.55436158180237
0.0,7.0,12,7,60012,1.0000325255844082,0.9999999999999978,0.0032525584410470006,,,2000,False,True,False,False,125.55436158180237
0.0,6.5,10,0,60010,1.000000075499467,1.0000000000000053,7.549946157148173e-06,,,494,True,False,False,False,130.3720338344574
0.0,6.5,10,1,60010,1.00000012950821,1.0000000000000053,1.295082046048883e-05,,,762,True,False,False,False,130.3720338344574
0.0,6.5,10,2,60010,1.000001119111181,1.0000000000000053,0.00011191111757291534,,,1284,True,False,False,False,130.3720338344574
0.0,6.5,10,3,60010,1.0000000239765665,1.0000000000000053,2.397656118091605e-06,,,597,True,False,False,False,130.3720338344574
0.0,6.5,10,4,60010,1.0000000227853434,1.0000000000000053,2.2785338060771087e-06,0.9999999995904169,-6.557254739192336e-16,377,True,False,False,True,130.3720338344574
0.0,6.5,10,5,60010,1.0000009249404604,1.0000000000000053,9.249404551159251e-05,,,1159,True,False,False,False,130.3720338344574
0.0,6.5,10,6,60010,1.0000001011057482,1.0000000000000053,1.0110574288901776e-05,,,520,True,False,False,False,130.3720338344574
0.0,6.5,10,7,60010,1.000008432247743,1.0000000000000053,0.000843224773761082,,,2000,False,True,False,False,130.3720338344574
0.0,6.25,9,0,60009,1.000000097843785,1.0000000000000142,9.784377086319157e-06,,,732,True,False,False,False,140.035165309906
0.0,6.25,9,1,60009,1.0000000154244326,1.0000000000000142,1.5424418409182076e-06,0.9999999996040186,4.943961905211143e-17,458,True,False,False,True,140.035165309906
0.0,6.25,9,2,60009,1.0000003641600077,1.0000000000000142,3.641599934933685e-05,,,858,True,False,False,False,140.035165309906
0.0,6.25,9,3,60009,1.000000101523375,1.0000000000000142,1.0152336082924618e-05,,,533,True,False,False,False,140.035165309906
0.0,6.25,9,4,60009,1.000000170807583,1.0000000000000142,1.708075687556463e-05,,,812,True,False,False,False,140.035165309906
0.0,6.25,9,5,60009,13.524529401783226,1.0000000000000142,1252.4529401783034,,,1974,True,False,False,False,140.035165309906
0.0,6.25,9,6,60009,1.0000275071973457,1.0000000000000142,0.002750719733146628,,,2000,False,True,False,False,140.035165309906
0.0,6.25,9,7,60009,1.0000000229368666,1.0000000000000142,2.293685241738753e-06,,,538,True,False,False,False,140.035165309906
0.0,5.5,6,0,60006,1.000000276051384,0.43396031512367017,130.43588116263663,,,791,True,False,False,False,141.15807151794434
0.0,5.5,6,1,60006,1.0000004267506555,0.43396031512367017,130.43591588914646,,,1166,True,False,False,False,141.15807151794434
0.0,5.5,6,2,60006,1.000000223900547,0.43396031512367017,130.43586914521586,,,657,True,False,False,False,141.15807151794434
0.0,5.5,6,3,60006,1.0000169291236354,0.43396031512367017,130.4397186269556,,,2000,False,True,False,False,141.15807151794434
0.0,5.5,6,4,60006,1.0000000730190086,0.43396031512367017,130.4358343767052,6.543545080004084e-10,-2.92734586558162e-16,792,True,False,False,True,141.15807151794434
0.0,5.5,6,5,60006,1.000000237969485,0.43396031512367017,130.4358723872031,,,784,True,False,False,False,141.15807151794434
0.0,5.5,6,6,60006,1.00000038632568,0.43396031512367017,130.43590657378414,,,828,True,False,False,False,141.15807151794434
0.0,5.5,6,7,60006,1.0000001576884427,0.43396031512367017,130.4358538875755,,,861,True,False,False,False,141.15807151794434
0.0,6.0,8,0,60008,1.0000000174155579,0.9999999999999949,1.7415562991729505e-06,0.9999999996138081,3.9855271856326276e-16,471,True,False,False,True,144.22009325027466
0.0,6.0,8,1,60008,1.000000024588171,0.9999999999999949,2.458817616179955e-06,,,799,True,False,False,False,144.22009325027466
0.0,6.0,8,2,60008,1.000090311971737,0.9999999999999949,0.009031197174214125,,,2000,False,True,False,False,144.22009325027466
0.0,6.0,8,3,60008,1.000002856472583,0.9999999999999949,0.0002856472588019813,,,2000,False,True,False,False,144.22009325027466
0.0,6.0,8,4,60008,1.0000005232707958,0.9999999999999949,5.232708009117486e-05,,,1023,True,False,False,False,144.22009325027466
0.0,6.0,8,5,60008,1.0000001913519636,0.9999999999999949,1.913519687146713e-05,,,798,True,False,False,False,144.22009325027466
0.0,6.0,8,6,60008,1.0000001603582023,0.9999999999999949,1.6035820737947485e-05,,,601,True,False,False,False,144.22009325027466
0.0,6.0,8,7,60008,1.0000000720000304,0.9999999999999949,7.200003548923954e-06,,,587,True,False,False,False,144.22009325027466
0.0,5.75,7,0,60007,1.0007243302379116,0.9999999999999998,0.07243302379118523,,,2000,False,True,False,False,168.55233788490295
0.0,5.75,7,1,60007,1.0000002349325081,0.9999999999999998,2.3493250833617203e-05,,,661,True,False,False,False,168.55233788490295
0.0,5.75,7,2,60007,1.0000007121539296,0.9999999999999998,7.12153929827153e-05,,,1137,True,False,False,False,168.55233788490295
0.0,5.75,7,3,60007,1.0000043792254019,0.9999999999999998,0.00043792254020846866,,,2000,False,True,False,False,168.55233788490295
0.0,5.75,7,4,60007,1.0000007598473792,0.9999999999999998,7.598473794612207e-05,,,1901,True,False,False,False,168.55233788490295
0.0,5.75,7,5,60007,1.000000352161162,0.9999999999999998,3.5216116223146805e-05,,,1248,True,False,False,False,168.55233788490295
0.0,5.75,7,6,60007,9.524529290013891,0.9999999999999998,852.4529290013893,,,912,True,False,False,False,168.55233788490295
0.0,5.75,7,7,60007,1.0000000252058276,0.9999999999999998,2.5205827869356776e-06,0.9999999990760462,-8.54351311904442e-16,510,True,False,False,True,168.55233788490295
0.0,5.25,5,0,60005,1.0000006706266695,-1.566039684876273,163.85538503806666,,,641,True,False,False,False,188.45049667358398
0.0,5.25,5,1,60005,1.0000000689627424,-1.566039684876273,163.85534661861067,,,891,True,False,False,False,188.45049667358398
0.0,5.25,5,2,60005,1.0045924847388992,-1.566039684876273,164.14859689959061,,,2000,False,True,False,False,188.45049667358398
0.0,5.25,5,3,60005,1.000000037834406,-1.566039684876273,163.85534463090008,2.0244841335967e-09,-1.0278236595097972e-15,643,True,False,False,True,188.45049667358398
0.0,5.25,5,4,60005,1.0006664243966468,-1.566039684876273,163.8978969728794,,,2000,False,True,False,False,188.45049667358398
0.0,5.25,5,5,60005,1.0027020357271441,-1.566039684876273,164.02788163100502,,,2000,False,True,False,False,188.45049667358398
0.0,5.25,5,6,60005,1.00000695956503,-1.566039684876273,163.8557866203778,,,2000,False,True,False,False,188.45049667358398
0.0,5.25,5,7,60005,1.00000192849957,-1.566039684876273,163.85546535997116,,,1787,True,False,False,False,188.45049667358398
0.0,4.75,3,0,60003,1.0000003002283848,-5.566039684876388,117.96610079776306,,,964,True,False,False,False,191.19578313827515
0.0,4.75,3,1,60003,-0.5480346648793354,-5.566039684876388,90.15395692617118,,,2000,False,True,False,False,191.19578313827515
0.0,4.75,3,2,60003,-0.5495963474504572,-5.566039684876388,90.1258995881079,,,2000,False,True,False,False,191.19578313827515
