p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.01,4.0,0,up,0,random,140000.0,-3.3734833985602437,-11.56603968487638,70.83285644461888,0.7517485569622937,0.2689095676416132,4000,False,True,False,False,
0.01,4.0,0,up,1,random,140001.0,-3.8099944101655887,-11.56603968487638,67.05878145008016,0.7545547265540881,0.2486252046694188,4000,False,True,False,False,
0.01,4.0,0,up,2,random,140002.0,-3.346930221463249,-11.56603968487638,71.06243526174602,0.7507253741778829,0.2548090370120428,4000,False,True,False,False,
0.01,4.0,0,up,3,random,140003.0,-4.133497297814617,-11.56603968487638,64.26177489932418,0.7598724062999269,0.2498893720341113,4000,False,True,False,False,
0.01,4.0,0,up,4,random,140004.0,-3.577631240466295,-11.56603968487638,69.06779383487363,0.7542826551786355,0.2782357209625517,4000,False,True,False,False,
0.01,4.0,0,up,5,random,140005.0,-4.17462063500193,-11.56603968487638,63.90622245174711,0.7599054745801224,0.2495492293630311,4000,False,True,False,True,
0.01,4.0,0,up,6,random,140006.0,1.20945251419415,-11.56603968487638,110.45692862160604,0.4903081730527169,0.2751107935929484,4000,False,True,False,False,
0.01,4.0,0,up,7,random,140007.0,-3.853008744004178,-11.56603968487638,66.68687944204163,0.7601278530045191,0.2467800471043916,4000,False,True,False,False,
0.01,4.25,1,up,0,warm,,-2.183340523351724,-9.566039684876388,77.17612935681714,0.7599948358073061,0.2497523561579384,4000,False,True,False,True,True
0.01,4.25,1,up,1,random,140100.0,-2.031990485875096,-9.566039684876388,78.75828918954194,0.7614306004825845,0.2373269660589763,4000,False,True,False,False,True
0.01,4.25,1,up,2,random,140101.0,-1.6142314995237748,-9.566039684876388,83.12539407424971,0.7531705006488765,0.2574111019050554,4000,False,True,False,False,True
0.01,4.25,1,up,3,random,140102.0,2.5284711999280334,-9.566039684876388,126.43174483088823,0.4583265912666182,0.2565089922912076,4000,False,True,False,False,True
0.01,4.5,2,up,0,warm,,-0.1654010979782469,-7.566039684876383,97.8139012631818,0.7598973224456185,0.2497647590616145,4000,False,True,False,False,False
0.01,4.5,2,up,1,random,140200.0,-0.3564309595325001,-7.566039684876383,95.28906833194434,0.7593144811683359,0.2633640711856799,4000,False,True,False,True,False
