p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,4.0,0,up,0,random,130000,-11.559990515835253,-11.56603968487638,0.05230112645244222,0.9998743607260113,2.841693893826014e-16,3930,True,False,False,False,
0.0,4.0,0,up,1,random,130001,-11.559991715257889,-11.56603968487638,0.05229075624216665,0.9998743881593172,-2.9268037646246197e-16,3097,True,False,False,False,
0.0,4.0,0,up,2,random,130002,-11.559991402834052,-11.56603968487638,0.05229345745921801,0.9998743977762138,6.667843360527363e-16,3055,True,False,False,False,
0.0,4.0,0,up,3,random,130003,-11.559991908561308,-11.56603968487638,0.05228908494045267,0.99987439520267,-8.160789751264421e-16,3173,True,False,False,False,
0.0,4.0,0,up,4,random,130004,-11.55999229050217,-11.56603968487638,0.0522857826790774,0.9998744003708778,-4.723868865519346e-16,2120,True,False,False,False,
0.0,4.0,0,up,5,random,130005,-11.55999242580182,-11.56603968487638,0.05228461287805406,0.9998743976035636,-7.001777629782146e-16,1957,True,False,False,False,
0.0,4.0,0,up,6,random,130006,-11.559992223388088,-11.56603968487638,0.052286362947546405,0.9998744065768584,-1.3271718793395068e-15,2885,True,False,False,False,
0.0,4.0,0,up,7,random,130007,-11.559992521927214,-11.56603968487638,0.052283781777725115,0.9998744178795911,-1.7564075193942064e-16,1292,True,False,False,True,
0.0,4.25,1,up,0,warm,,-9.559992533239654,-9.566039684876388,0.06321478726765405,0.9998744171647553,-3.152859917555537e-16,182,True,False,False,True,True
0.0,4.25,1,up,1,random,130100,-9.55999083771132,-9.566039684876388,0.06323251172197868,0.9998743806299284,-3.846749307978573e-16,3665,True,False,False,False,True
0.0,4.25,1,up,2,random,130101,-9.5599925085587,-9.566039684876388,0.06321504527363124,0.9998744090791067,4.526815120670104e-16,3179,True,False,False,False,True
0.0,4.25,1,up,3,random,130102,-9.559992443223688,-9.566039684876388,0.06321572826277011,0.999874406519606,-1.5569143195599386e-16,1150,True,False,False,False,True
0.0,4.5,2,up,0,warm,,-7.559992558804457,-7.566039684876383,0.07992458834194871,0.9998744211079905,-3.5269096671599694e-16,182,True,False,False,True,True
