p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,4.0,3,0,180003,-11.558298640117696,-11.56603968487638,0.0669290869614195,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,1,180003,-11.549418153071954,-11.56603968487638,0.1437097939942164,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,2,180003,-11.559919170471119,-11.56603968487638,0.05291797859957068,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,3,180003,-11.559895146747298,-11.56603968487638,0.0531256877591056,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,4,180003,-11.55483854932285,-11.56603968487638,0.09684503822147143,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,5,180003,-11.550851948456565,-11.56603968487638,0.13131319650990197,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,6,180003,-11.559923054100455,-11.56603968487638,0.05288440073331608,,,2000,False,True,False,False,142.1591980457306
0.0,4.0,3,7,180003,-11.559991589839422,-11.56603968487638,0.0522918406104564,0.9998743960527644,7.589415207398531e-18,2000,False,True,False,True,142.1591980457306
0.0,2.0,1,0,180001,-27.55926841674906,-27.566039684876344,0.02456380461136535,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,1,180001,-27.559905636760362,-27.566039684876344,0.022252192139689445,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,2,180001,-27.559862273857608,-27.566039684876344,0.02240949766217457,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,3,180001,-27.559992274537098,-27.566039684876344,0.02193790043247903,0.9998744028936963,-7.029153735542134e-16,1678,True,False,False,True,143.13076782226562
0.0,2.0,1,4,180001,-27.55997456742466,-27.566039684876344,0.022002135674973305,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,5,180001,-27.559991960398115,-27.566039684876344,0.021939040019401425,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,6,180001,-27.55818670072761,-27.566039684876344,0.028487893939448332,,,2000,False,True,False,False,143.13076782226562
0.0,2.0,1,7,180001,-27.557156328250862,-27.566039684876344,0.03222572675303706,,,2000,False,True,False,False,143.13076782226562
0.0,5.0,4,0,180004,1.0036402395977722,-3.566039684876202,128.14439345289043,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,1,180004,-3.556321147446107,-3.566039684876202,0.2725302657542459,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,2,180004,-3.5583492662204095,-3.566039684876202,0.21565712486061223,0.999845232555036,1.2449351379390364e-15,2000,False,True,False,True,144.61366653442383
0.0,5.0,4,3,180004,-3.5300149865443293,-3.566039684876202,1.010215856112191,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,4,180004,-3.0796303534495886,-3.566039684876202,13.640042579714013,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,5,180004,-3.5421475029159204,-3.566039684876202,0.6699920379913262,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,6,180004,-3.552052267690081,-3.566039684876202,0.39223952681857316,,,2000,False,True,False,False,144.61366653442383
0.0,5.0,4,7,180004,-3.5578569400754136,-3.566039684876202,0.22946308857671505,,,2000,False,True,False,False,144.61366653442383
0.0,3.0,2,0,180002,-12.524810628797102,-19.566039684876287,35.98699159095417,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,1,180002,-19.558133109298346,-19.566039684876287,0.04040968793522636,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,2,180002,-19.559874958603814,-19.566039684876287,0.031507276749716505,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,3,180002,-19.532932251040755,-19.566039684876287,0.1692086613783309,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,4,180002,-12.472768348818372,-19.566039684876287,36.252974287590305,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,5,180002,-19.559077792180606,-19.566039684876287,0.03558151167945661,,,2000,False,True,False,False,145.16099762916565
0.0,3.0,2,6,180002,-19.559989786755985,-19.566039684876287,0.030920401970659685,0.9998743133506384,-1.0833348107992158e-15,2000,False,True,False,True,145.16099762916565
0.0,3.0,2,7,180002,-19.55979549392244,-19.566039684876287,0.03191341249641637,,,2000,False,True,False,False,145.16099762916565
0.0,1.0,0,0,180000,-35.531988776281736,-35.56603968487625,0.09573994995286257,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,1,180000,-35.55500247004016,-35.56603968487625,0.0310330161409203,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,2,180000,-35.468090042596025,-35.56603968487625,0.2754021621414267,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,3,180000,-35.554035808638105,-35.56603968487625,0.033750949907564,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,4,180000,-35.55999081796289,-35.56603968487625,0.017007423280620826,0.9998742646453183,4.360661154280314e-16,2000,False,True,False,True,145.75834965705872
0.0,1.0,0,5,180000,-35.55789945218664,-35.56603968487625,0.02288765564492685,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,6,180000,-35.55963312692437,-35.56603968487625,0.018013132776793814,,,2000,False,True,False,False,145.75834965705872
0.0,1.0,0,7,180000,-35.534696646236206,-35.56603968487625,0.08812631071030803,,,2000,False,True,False,False,145.75834965705872
