p,K,K_label,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,cell_time_s
0.01,0.0,K=0,0,30000,-50.96139393111211,-68.57642465813775,25.686714953191014,0.521778899680061,0.5266763750935808,2000,False,True,False,887.1128761768341
0.01,0.0,K=0,1,30000,-49.8441036735596,-68.57642465813775,27.315977871347428,,,2000,False,True,False,887.1128761768341
0.01,0.0,K=0,2,30000,-50.083536116532436,-68.57642465813775,26.96683099737954,,,2000,False,True,False,887.1128761768341
0.01,0.0,K=0,3,30000,-50.52512469201134,-68.57642465813775,26.322894575088235,,,2000,False,True,False,887.1128761768341
0.01,1.25,interior,0,30001,-30.23883117524308,-48.57642465813777,37.74998594883759,,,2000,False,True,False,897.7233846187592
0.01,1.25,interior,1,30001,-29.306409234720615,-48.57642465813777,39.66948073892248,,,2000,False,True,False,897.7233846187592
0.01,1.25,interior,2,30001,-32.04958903936433,-48.57642465813777,34.022338480205086,0.5364513820895485,0.5966352143860307,2000,False,True,False,897.7233846187592
0.01,1.25,interior,3,30001,-30.806138456183753,-48.57642465813777,36.582120497781524,,,2000,False,True,False,897.7233846187592
0.01,2.5,boundary,0,30002,-11.904889509904464,-28.918119696780735,58.83242190456194,,,2000,False,True,False,905.2372705936432
0.01,2.5,boundary,1,30002,-13.6467471921322,-28.918119696780735,52.809009246713224,0.464462014803669,0.5409882063208047,2000,False,True,False,905.2372705936432
0.01,2.5,boundary,2,30002,-11.841740000567096,-28.918119696780735,59.05079540186923,,,2000,False,True,False,905.2372705936432
0.01,2.5,boundary,3,30002,-12.806414121884925,-28.918119696780735,55.71491419163542,,,2000,False,True,False,905.2372705936432
0.02,2.5,boundary,0,30102,-3.2699701697826637,-28.918119696780735,88.69231400910658,0.05613598159934864,0.9857170857994257,2000,False,True,False,905.7171168327332
0.02,2.5,boundary,1,30102,-2.449369618376565,-28.918119696780735,91.52998312456243,,,2000,False,True,False,905.7171168327332
0.02,2.5,boundary,2,30102,1.3258483749600813,-28.918119696780735,104.58483604349864,,,2000,False,True,False,905.7171168327332
0.02,2.5,boundary,3,30102,-1.9548390736405457,-28.918119696780735,93.24008927918587,,,2000,False,True,False,905.7171168327332
0.02,0.0,K=0,0,30100,-38.66937126978511,-68.57642465813775,43.6112753580303,,,2000,False,True,False,907.9165587425232
0.02,0.0,K=0,1,30100,-38.69066194536119,-68.57642465813775,43.580228718194206,,,2000,False,True,False,907.9165587425232
0.02,0.0,K=0,2,30100,-38.93346717426594,-68.57642465813775,43.22616355642007,0.2858980492968246,0.9342913585029242,2000,False,True,False,907.9165587425232
0.02,0.0,K=0,3,30100,-37.818106979949675,-68.57642465813775,44.852612004084826,,,2000,False,True,False,907.9165587425232
0.02,1.25,interior,0,30101,-20.06711146639909,-48.57642465813777,58.68960795772081,,,2000,False,True,False,910.2010333538055
0.02,1.25,interior,1,30101,-20.203147162714895,-48.57642465813777,58.40956327087288,,,2000,False,True,False,910.2010333538055
0.02,1.25,interior,2,30101,-20.835411972985987,-48.57642465813777,57.10797548477966,0.30955845978724195,0.8838583989456367,2000,False,True,False,910.2010333538055
0.02,1.25,interior,3,30101,-20.56402127920971,-48.57642465813777,57.666663563793755,,,2000,False,True,False,910.2010333538055
