p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-4.0,12,0,10012,-103.87376778617684,-107.56603968487642,3.432562832578375,,,2000,False,True,False,False,356.02345180511475
0.005,-4.0,12,1,10012,-93.31980586110039,-107.56603968487642,13.244174337468909,,,2000,False,True,False,False,356.02345180511475
0.005,-4.0,12,2,10012,-103.93262007759074,-107.56603968487642,3.377850126238799,,,1119,True,False,False,False,356.02345180511475
0.005,-4.0,12,3,10012,-103.8676233746854,-107.56603968487642,3.4382750550506804,,,2000,False,True,False,False,356.02345180511475
0.005,-4.0,12,4,10012,-97.44132546759514,-107.56603968487642,9.412556460145288,,,2000,False,True,False,False,356.02345180511475
0.005,-4.0,12,5,10012,-93.12310436471334,-107.56603968487642,13.427040135041546,,,2000,False,True,False,False,356.02345180511475
0.005,-4.0,12,6,10012,-104.0368524780206,-107.56603968487642,3.2809492821292428,0.8927932724475021,0.10700559083051313,2000,False,True,False,True,356.02345180511475
0.005,-4.0,12,7,10012,-103.9820229846985,-107.56603968487642,3.3319221481776076,,,2000,False,True,False,False,356.02345180511475
0.005,-13.0,3,0,10003,-304.005679701782,-311.0,2.2489775878514426,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,1,10003,-303.375485050267,-311.0,2.4516125240299025,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,2,10003,-304.1451933589842,-311.0,2.20411789100186,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,3,10003,-304.734471044265,-311.0,2.0146395356061166,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,4,10003,-305.18418634096565,-311.0,1.8700365463132949,0.9005707761546916,0.10602521944630143,2000,False,True,False,True,369.0619442462921
0.005,-13.0,3,5,10003,-304.0970557677042,-311.0,2.219596216172281,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,6,10003,-304.41172038110926,-311.0,2.118417883887697,,,2000,False,True,False,False,369.0619442462921
0.005,-13.0,3,7,10003,-304.7545089157838,-311.0,2.008196490101676,,,2000,False,True,False,False,369.0619442462921
0.005,-15.0,1,0,10001,-351.3643776081078,-358.99999999999966,2.1269143152902092,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,1,10001,-351.44774454003624,-358.99999999999966,2.10369232868062,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,2,10001,-351.6257836004457,-358.99999999999966,2.054099275641777,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,3,10001,-350.8822975571482,-358.99999999999966,2.261198452047761,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,4,10001,-352.14597226452946,-358.99999999999966,1.90919992631482,0.9005548676627179,0.10618021139201278,2000,False,True,False,True,369.45220136642456
0.005,-15.0,1,5,10001,-352.1222276153842,-358.99999999999966,1.9158140347118313,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,6,10001,-352.111831754009,-358.99999999999966,1.918709817824693,,,2000,False,True,False,False,369.45220136642456
0.005,-15.0,1,7,10001,-351.90189831524435,-358.99999999999966,1.977187098817636,,,2000,False,True,False,False,369.45220136642456
