p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.01,4.25,1,0,100001,-1.7444201177908907,-9.566039684876388,81.76444824341714,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,1,100001,-1.7322889050236792,-9.566039684876388,81.89126365676306,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,2,100001,-1.0733117442821303,-9.566039684876388,88.77997813474471,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,3,100001,3.5599962965547505,-9.566039684876388,137.21494384121146,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,4,100001,-2.557903521001756,-9.566039684876388,73.26058008053509,0.7619057668983875,0.2597675113679007,2000,False,True,False,True,749.1518132686615
0.01,4.25,1,5,100001,-1.844717221382836,-9.566039684876388,80.71597774887684,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,6,100001,2.3336348834630525,-9.566039684876388,124.39499479761156,,,2000,False,True,False,False,749.1518132686615
0.01,4.25,1,7,100001,4.398793913068153,-9.566039684876388,145.98343784860634,,,2000,False,True,False,False,749.1518132686615
0.01,6.75,11,0,100011,7.687757774857769,0.9999999999999973,668.7757774857789,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,1,100011,7.368609131147763,0.9999999999999973,636.8609131147782,0.7760457074352342,0.2398208964158426,2000,False,True,False,True,753.423805475235
0.01,6.75,11,2,100011,8.554068358351557,0.9999999999999973,755.4068358351581,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,3,100011,8.577928254218293,0.9999999999999973,757.7928254218316,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,4,100011,7.5660228177227244,0.9999999999999973,656.6022817722745,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,5,100011,7.680243241328041,0.9999999999999973,668.0243241328061,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,6,100011,7.455094616958837,0.9999999999999973,645.5094616958856,,,2000,False,True,False,False,753.423805475235
0.01,6.75,11,7,100011,7.676090056205789,0.9999999999999973,667.6090056205809,,,2000,False,True,False,False,753.423805475235
0.01,7.0,12,0,100012,7.578956867112469,0.9999999999999978,657.8956867112485,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,1,100012,7.70900450048365,0.9999999999999978,670.9004500483668,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,2,100012,8.287783638636117,0.9999999999999978,728.7783638636135,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,3,100012,7.92093232351147,0.9999999999999978,692.0932323511488,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,4,100012,9.351392816711236,0.9999999999999978,835.1392816711256,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,5,100012,8.412216766555302,0.9999999999999978,741.2216766555321,,,2000,False,True,False,False,758.1410517692566
0.01,7.0,12,6,100012,7.469604181718719,0.9999999999999978,646.9604181718735,0.7765432490185822,0.24079673318208294,2000,False,True,False,True,758.1410517692566
0.01,7.0,12,7,100012,8.01689552147503,0.9999999999999978,701.6895521475047,,,2000,False,True,False,False,758.1410517692566
0.01,4.75,3,0,100003,1.736294916350002,-5.566039684876388,131.19444011633135,0.7556910348483682,0.25492043822181676,2000,False,True,False,True,767.2335841655731
0.01,4.75,3,1,100003,2.49687066592359,-5.566039684876388,144.85901659501087,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,2,100003,2.6536744804275765,-5.566039684876388,147.67616888607415,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,3,100003,2.389771038018402,-5.566039684876388,142.93485446235144,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,4,100003,5.885046038150856,-5.566039684876388,205.7312985773574,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,5,100003,5.429306774164783,-5.566039684876388,197.54344348131178,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,6,100003,5.637233995284485,-5.566039684876388,201.27908377300184,,,2000,False,True,False,False,767.2335841655731
0.01,4.75,3,7,100003,4.935263666029506,-5.566039684876388,188.66741786694806,,,2000,False,True,False,False,767.2335841655731
