p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-16.0,0,1,20,0,20001,-374.8215937671631,-383.0000000000001,2.13535410779034,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,1,20001,-374.129900353967,-383.0000000000001,2.3159529101914123,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,2,20001,-374.95039127863373,-383.0000000000001,2.1017255147170704,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,3,20001,-375.0521313146066,-383.0000000000001,2.0751615366562737,2000,False,True,False,True,596.2287874221802
0.005,-16.0,0,1,20,4,20001,-374.352490711949,-383.0000000000001,2.2578353232509496,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,5,20001,-374.3640855295685,-383.0000000000001,2.2548079557262657,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,6,20001,-374.1833306114895,-383.0000000000001,2.302002451308251,2000,False,True,False,False,596.2287874221802
0.005,-16.0,0,1,20,7,20001,-375.00796900790294,-383.0000000000001,2.086692165038425,2000,False,True,False,False,596.2287874221802
0.005,-10.0,6,1,20,0,20061,-233.7771892701619,-238.9999999999999,2.1852764559991593,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,1,20061,-234.24799125429934,-238.9999999999999,1.988288178117386,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,2,20061,-233.73033740796348,-238.9999999999999,2.2048797456219305,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,3,20061,-234.28919266444788,-238.9999999999999,1.9710490943732246,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,4,20061,-233.7004335340874,-238.9999999999999,2.2173918267416233,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,5,20061,-234.1799567933218,-238.9999999999999,2.0167544797816297,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,6,20061,-234.01546764987046,-238.9999999999999,2.0855783891754935,2000,False,True,False,False,597.3450727462769
0.005,-10.0,6,1,20,7,20061,-234.3072454921576,-238.9999999999999,1.9634956099758567,2000,False,True,False,True,597.3450727462769
0.005,-15.0,1,1,20,0,20011,-352.3031475025294,-359.0000000000002,1.8654185229723785,2000,False,True,False,True,598.7588911056519
0.005,-15.0,1,1,20,1,20011,-351.9817634731211,-359.0000000000002,1.954940536735138,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,2,20011,-351.49191684140254,-359.0000000000002,2.0913880664617497,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,3,20011,-351.0195968407362,-359.0000000000002,2.2229535262573883,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,4,20011,-351.66173514627604,-359.0000000000002,2.044084917471916,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,5,20011,-352.03187493271827,-359.0000000000002,1.9409819128919097,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,6,20011,-351.6784021245834,-359.0000000000002,2.0394423051300383,2000,False,True,False,False,598.7588911056519
0.005,-15.0,1,1,20,7,20011,-350.9962871973184,-359.0000000000002,2.2294464631425703,2000,False,True,False,False,598.7588911056519
0.005,-11.0,5,1,20,0,20051,-257.289631888027,-263.0,2.1712426281266257,2000,False,True,False,False,598.1747918128967
0.005,-11.0,5,1,20,1,20051,-257.0031748693433,-263.0,2.28016164663753,2000,False,True,False,False,598.1747918128967
0.005,-11.0,5,1,20,2,20051,-257.3760190330322,-263.0,2.1383958049307195,2000,False,True,False,False,598.1747918128967
