p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,4.0,0,up,0,random,130000.0,-11.55988676175387,-11.566039684876383,0.0531981844274748,0.9998713768597935,-9.367507101147017e-17,4000,False,True,False,False,
0.0,4.0,0,up,1,random,130001.0,-11.55999194365022,-11.566039684876383,0.0522887815617079,0.9998743861508552,-1.1451885446167288e-15,2521,True,False,False,False,
0.0,4.0,0,up,2,random,130002.0,-11.558957405329071,-11.566039684876383,0.0612334017543853,0.9998528059593478,-3.539378124427829e-16,4000,False,True,False,False,
0.0,4.0,0,up,3,random,130003.0,-11.55999205175176,-11.566039684876383,0.0522878469155965,0.9998743885077984,-9.483516402730713e-16,3143,True,False,False,False,
0.0,4.0,0,up,4,random,130004.0,-11.559992444465582,-11.566039684876383,0.0522844515111793,0.9998744093524872,-1.5175577808279617e-15,3165,True,False,False,True,
0.0,4.0,0,up,5,random,130005.0,-11.559992170404977,-11.566039684876383,0.0522868210396832,0.9998743971351888,-1.2382130910870713e-15,2004,True,False,False,False,
0.0,4.0,0,up,6,random,130006.0,-11.559476962399524,-11.566039684876383,0.0567413103850987,0.999864431771014,-3.710139834245399e-16,4000,False,True,False,False,
0.0,4.0,0,up,7,random,130007.0,-11.5599911535192,-11.566039684876383,0.0522956130359197,0.9998743810565444,-1.0868042576994704e-15,3055,True,False,False,False,
0.0,4.25,1,up,0,warm,,-9.559992457531688,-9.56603968487636,0.0632155786916937,0.9998744071532584,-6.416308456639971e-16,179,True,False,False,True,True
0.0,4.25,1,up,1,random,130100.0,-9.559990484101688,-9.56603968487636,0.063236208231877,0.999874319376966,-8.718069666887996e-16,3461,True,False,False,False,True
0.0,4.25,1,up,2,random,130101.0,-9.559991241340212,-9.56603968487636,0.0632282923278115,0.9998743887359748,-5.01253769394361e-16,4000,False,True,False,False,True
0.0,4.25,1,up,3,random,130102.0,-9.559992415678986,-9.56603968487636,0.0632160162050641,0.9998744111472676,1.7379760824942646e-16,1539,True,False,False,False,True
0.0,4.5,2,up,0,warm,,-7.559992476613716,-7.566039684876367,0.0799256746530014,0.999874412812274,-9.542063320044928e-16,180,True,False,False,True,True
0.0,4.5,2,up,1,random,130200.0,-7.559991027835752,-7.566039684876367,0.0799448230850029,0.9998743603900412,-1.2382673011956956e-15,3688,True,False,False,False,True
0.0,4.5,2,up,2,random,130201.0,-7.559991708811542,-7.566039684876367,0.0799358226591687,0.999874379546394,-1.0090127518236357e-15,3743,True,False,False,False,True
0.0,4.5,2,up,3,random,130202.0,-7.559864960107789,-7.566039684876367,0.0816110544717432,0.9998624403131858,-7.047314121155789e-17,4000,False,True,False,False,True
