p,K,K_label,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,cell_time_s
0.01,0.0,K=0,0,30000,-49.72739917683269,-68.57642465813775,27.48615952970699,,,2000,False,True,False,1663.622092962265
0.01,0.0,K=0,1,30000,-50.46398356354861,-68.57642465813775,26.412052224772548,0.5306308862984972,0.5565943440801486,2000,False,True,False,1663.622092962265
0.01,0.0,K=0,2,30000,-48.78929383829903,-68.57642465813775,28.854130145279665,,,2000,False,True,False,1663.622092962265
0.01,0.0,K=0,3,30000,-50.1947240941633,-68.57642465813775,26.80469367659452,,,2000,False,True,False,1663.622092962265
0.01,1.25,interior,0,30001,-28.999302000518824,-48.57642465813774,40.301695308774164,,,2000,False,True,False,1669.969247341156
0.01,1.25,interior,1,30001,-29.673783003065452,-48.57642465813774,38.91320077198319,,,2000,False,True,False,1669.969247341156
0.01,1.25,interior,2,30001,-31.097313341294914,-48.57642465813774,35.98270444944047,0.5245612619375883,0.5898288528107593,2000,False,True,False,1669.969247341156
0.01,1.25,interior,3,30001,-30.99277425711228,-48.57642465813774,36.19790983954141,,,2000,False,True,False,1669.969247341156
0.01,2.5,boundary,0,30002,-11.826738783028803,-28.91811969678065,59.1026702045727,,,2000,False,True,False,1676.6818873882294
0.01,2.5,boundary,1,30002,-13.921236994643534,-28.91811969678065,51.85981266896362,0.4600527954980402,0.5563177795140537,2000,False,True,False,1676.6818873882294
0.01,2.5,boundary,2,30002,-10.424354528470394,-28.91811969678065,63.95217034242064,,,2000,False,True,False,1676.6818873882294
0.01,2.5,boundary,3,30002,-12.25385536093949,-28.91811969678065,57.62568420966987,,,2000,False,True,False,1676.6818873882294
0.02,0.0,K=0,0,30100,-40.30669160028347,-68.57642465813775,41.22369050119267,,,2000,False,True,False,1682.6846797466278
0.02,0.0,K=0,1,30100,-40.15289353342058,-68.57642465813775,41.44796300829638,,,2000,False,True,False,1682.6846797466278
0.02,0.0,K=0,2,30100,-39.5516848626511,-68.57642465813775,42.3246617772488,,,2000,False,True,False,1682.6846797466278
0.02,0.0,K=0,3,30100,-40.32483619704581,-68.57642465813775,41.19723155870217,0.3095288624259404,0.9076449030085432,2000,False,True,False,1682.6846797466278
0.02,1.25,interior,0,30101,-20.718125529381165,-48.57642465813774,57.34942273914272,0.2985880574158395,0.9563583800907787,2000,False,True,False,1693.5917313098907
0.02,1.25,interior,1,30101,-18.823957546431426,-48.57642465813774,61.24877926091262,,,2000,False,True,False,1693.5917313098907
0.02,1.25,interior,2,30101,-20.692980153932425,-48.57642465813774,57.4011873052377,,,2000,False,True,False,1693.5917313098907
0.02,1.25,interior,3,30101,-20.097613892029134,-48.57642465813774,58.626815305019996,,,2000,False,True,False,1693.5917313098907
0.02,2.5,boundary,0,30102,-2.780531473449323,-28.91811969678065,90.38481235085672,,,2000,False,True,False,1710.2817668914795
0.02,2.5,boundary,1,30102,-3.2447544887574558,-28.91811969678065,88.77951082995662,,,2000,False,True,False,1710.2817668914795
0.02,2.5,boundary,2,30102,-1.8739838263960324,-28.91811969678065,93.51968991744421,,,2000,False,True,False,1710.2817668914795
0.02,2.5,boundary,3,30102,-4.148068887697924,-28.91811969678065,85.65581396303676,0.31614166345407874,0.9363497477411873,2000,False,True,False,1710.2817668914795
