p,K,K_index,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-11.0,5,0,10005,-257.035850198306,-263.0,2.2677375671840383,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,1,10005,-257.73758407967085,-263.0,2.000918600885607,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,2,10005,-257.46770966487605,-263.0,2.103532446815189,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,3,10005,-257.50852099091213,-263.0,2.0880148323528016,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,4,10005,-258.17239377008195,-263.0,1.835591722402299,0.9005739496682441,0.10611950687856953,2000,False,True,False,True,367.7724905014038
0.005,-11.0,5,5,10005,-257.3852788285247,-263.0,2.1348749701427034,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,6,10005,-257.4772340181948,-263.0,2.0999110196977977,,,2000,False,True,False,False,367.7724905014038
0.005,-11.0,5,7,10005,-257.6731446799894,-263.0,2.025420273768298,,,2000,False,True,False,False,367.7724905014038
0.005,-9.0,7,0,10007,-210.5936374263576,-215.00000000000017,2.0494709644849203,,,2000,False,True,False,False,368.46586894989014
0.005,-9.0,7,1,10007,-210.40345421961345,-215.00000000000017,2.13792826994731,,,2000,False,True,False,False,368.46586894989014
0.005,-9.0,7,2,10007,-210.80922421020094,-215.00000000000017,1.9491980417670836,,,2000,False,True,False,False,368.46586894989014
0.005,-9.0,7,3,10007,-210.49580350103994,-215.00000000000017,2.094975115795452,,,2000,False,True,False,False,368.46586894989014
0.005,-9.0,7,4,10007,-210.16838538348756,-215.00000000000017,2.2472626123314448,,,2000,False,True,False,False,368.46586894989014
0.005,-9.0,7,5,10007,-210.81455536540815,-215.00000000000017,1.9467184346939597,0.900581730987745,0.1152817067456485,2000,False,True,False,True,368.46586894989014
0.005,-9.0,7,6,10007,-210.755638770374,-215.00000000000017,1.9741215021517096,,,2000,False,True,False,False,368.46586894989014
